,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
212,Biographical Memoirs,"['National Academy of Sciences', 'Office of the Home Secretary']",en,['Biography & Autobiography'],,NOT_MATURE,National Academies Press,1998-07-01,388.0
213,Commencement,"['University of California, Berkeley']",en,,,NOT_MATURE,,1960,
214,"Organic Chemistry, Volume One",['Frank C. Whitmore'],en,['Science'],,NOT_MATURE,Courier Corporation,2012-11-13,608.0
215,American Men of Science,,en,['Canada'],,NOT_MATURE,,1944,
216,Timetable,,en,,,NOT_MATURE,,1937,
217,The Journal of Engineering Education,,en,['Engineering'],,NOT_MATURE,,1946,
218,Imperfect Chemistry,['Mary Frame'],en,['Fiction'],4.5,NOT_MATURE,Mary Frame,2014-04-23,198.0
219,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2008-12-24,320.0
220,Commencement[programme],"['University of California, Berkeley']",en,"['Dissertations, Academic']",,NOT_MATURE,,1956,
221,Register - University of California,,en,,,NOT_MATURE,,1957,
222,Commencement,"['University of California, Berkeley']",en,,,NOT_MATURE,,1960,
223,Grants and Awards for the Fiscal Year Ended ...,['National Science Foundation (U.S.)'],en,['Federal aid to research'],,NOT_MATURE,,,
224,Academic Press Dictionary of Science and Technology,"['Christopher G. Morris', 'Academic Press']",en,['Computers'],,NOT_MATURE,Gulf Professional Publishing,1992,2432.0
225,The Quality Management Sourcebook,"['Christine Avery', 'Diane Zabel']",en,['Business & Economics'],,NOT_MATURE,Routledge,2002-09-11,336.0
226,Software Engineering Handbook,['Jessica Keyes'],en,['Computers'],4.5,NOT_MATURE,CRC Press,2002-12-23,896.0
227,Mechanical Engineering,,en,['Mechanical engineering'],,NOT_MATURE,,1981,
228,A Survey of American Chemistry,['National Research Council (U.S.). Division of Chemistry and Chemical Technology'],en,['Chemistry'],,NOT_MATURE,National Academies,1933,
229,Wastes Engineering,,en,['Public health'],,NOT_MATURE,,1962,
230,Directory,['University of Texas at Austin. Graduate School of Library Science'],en,,,NOT_MATURE,,1972,
231,Transescence,,en,['Junior high schools'],,NOT_MATURE,,1993,
232,American Doctoral Dissertations,,en,['Dissertation abstracts'],,NOT_MATURE,,1985,
233,The National Faculty Directory,,en,['College teachers'],,NOT_MATURE,,2003,
234,Who's who in Science and Engineering,,en,['Engineers'],,NOT_MATURE,,2008,
235,"Who's Who Among Human Services Professionals, 1992-1993",['Howard Friedman'],en,,,NOT_MATURE,National Reference Inst Publications,1992,
236,Who's who in the West,,en,['United States'],,NOT_MATURE,,1992,
237,Who's who in America,,en,['United States'],,NOT_MATURE,,1900,
238,نحن كلنا متشابهون، نحن كلنا مختلفون,,en,"[""Children's art""]",,NOT_MATURE,,2006,
239,Handbook of Social Indicators and Quality of Life Research,"['Kenneth C. Land', 'Alex C. Michalos', 'M. Joseph Sirgy']",en,['Social Science'],,NOT_MATURE,Springer Science & Business Media,2011-11-25,593.0
240,The Woman Who Stole My Life,['Marian Keyes'],en,['Fiction'],3.5,NOT_MATURE,Penguin UK,2014-11-06,560.0
241,The life of Elisha Williams Keyes,['Richard Watson Hantke'],en,['Biography & Autobiography'],,NOT_MATURE,,1942,692.0
242,Stevie Wonder's Songs in the Key of Life,['Zeth Lundy'],en,['Music'],,NOT_MATURE,Bloomsbury Publishing USA,2007-01-15,160.0
243,Key Notes of Health and a Century of Life,['Charles Winfield Scott'],en,['Hygiene'],,NOT_MATURE,,1895,201.0
244,Growing Through Life's Challenges,"['James Reapsome', 'Martha Reapsome']",en,['Religion'],4.5,NOT_MATURE,Shaw Books,2009-12-16,112.0
245,"Handbook of Adolescent Psychology, Individual Bases of Adolescent Development","['Richard M. Lerner', 'Laurence Steinberg, PhD']",en,['Psychology'],2.0,MATURE,John Wiley & Sons,2009,823.0
246,"A Critical Dictionary of English Literature and British and American Authors, Living and Deceased",['Samuel Austin Allibone'],en,['American literature'],,NOT_MATURE,,1896,3140.0
247,The Post-Truth Era,['Ralph Keyes'],en,['Social Science'],,NOT_MATURE,St. Martin's Press,2004-10-03,320.0
248,"The early life of Robert M. La Follette, 1855-1884",['David Paul Thelen'],en,['History'],,NOT_MATURE,,1966,147.0
249,Academic Press Dictionary of Science and Technology,"['Christopher G. Morris', 'Academic Press']",en,['Computers'],,NOT_MATURE,Gulf Professional Publishing,1992,2432.0
250,Data Science on the Google Cloud Platform,['Valliappa Lakshmanan'],en,['Computers'],,NOT_MATURE,"""O'Reilly Media, Inc.""",2017-12-12,404.0
251,The Oxford Handbook of Research Strategies for Clinical Psychology,"['Jonathan S. Comer', 'Philip C. Kendall']",en,['Psychology'],,NOT_MATURE,Oxford University Press,2013-03-26,476.0
252,Data Science and Knowledge Engineering for Sensing Decision Support,"['Jun Liu', 'Jie Lu', 'Yang Xu', 'Luis Martinez', 'Etienne E Kerre']",en,['Computers'],,NOT_MATURE,World Scientific,2018-07-26,1624.0
253,Population Health Science,"['Katherine M. Keyes', 'Sandro Galea', 'Robert a Knox Professor and Dean Sandro Galea, MD']",en,,,NOT_MATURE,Oxford University Press,2016-08-04,224.0
254,Business data processing,['Elias M. Awad'],en,['Computers'],,NOT_MATURE,Prentice Hall,1974-11-01,722.0
255,"Reverse Acronyms, Initialisms & Abbreviations Dictionary",,en,['Abbreviations'],,NOT_MATURE,,2008,
256,Cryptographic Hardware and Embedded Systems – CHES 2008,['Elisabeth Oswald'],en,['Computers'],,NOT_MATURE,Springer Science & Business Media,2008-07-18,442.0
257,The Biblical Basis for Modern Science,['Dr. Henry M. Morris'],en,['Religion'],5.0,NOT_MATURE,New Leaf Publishing Group,2002-06-01,478.0
258,"Hearings, reports and prints of the House Committee on Science and Astronautics",,en,,,NOT_MATURE,,1967,
259,Carpentry and joinery,['Pearson Education'],en,['Carpentry'],,NOT_MATURE,Heinemann,2006,424.0
260,"Retail Crime, Security, and Loss Prevention","['Charles A. Sennewald', 'John H. Christman']",en,['Social Science'],,NOT_MATURE,Elsevier,2011-08-29,704.0
261,Symposium on Electronics Maintenance,,en,['Electronic apparatus and appliances'],,NOT_MATURE,,1955,214.0
262,Symposium on Electronics Maintenance,['United States. Office of the Assistant Secretary of Defense (Research and Development) ADVISORY PANEL ON PERSONNEL AND TRAINING RESEARCH'],en,['Electronic apparatus and appliances'],,NOT_MATURE,,1955,214.0
263,Selected Areas in Cryptography -- SAC 2013,"['Tanja Lange', 'Kristin Lauter', 'Petr Lisoněk']",en,['Computers'],,NOT_MATURE,Springer,2014-05-20,590.0
264,Modern Concepts of Security,['James Ohwofasa Akpeninor'],en,['Philosophy'],,NOT_MATURE,AuthorHouse,2012-06-01,344.0
265,English Mechanic and World of Science,,en,['Mechanics'],,NOT_MATURE,,1898,
266,Research Bulletin,,en,,,NOT_MATURE,,1951,
267,Mechanics Magazine,['John I Knight'],en,,,NOT_MATURE,,1868,
268,Building Security Standards,"['Donald R. Hughes', 'Gary R. Cooper', ""California. Attorney General's Building Security Commission""]",en,['Burglary protection'],,NOT_MATURE,,1974,57.0
269,"Fifty Years' Observations of Men and Events, Civil and Military",['Erasmus Darwin Keyes'],en,"['Fair Oaks (Henrico County, Va.), Battle of, 1862']",,NOT_MATURE,,1884,515.0
270,"Emanuel Law Outlines for Civil Procedure, Keyed to Yeazell",['John T. Cross'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2016-06-13,400.0
271,Civil Procedure,"['Casenotes', 'Casenote Legal Briefs']",en,['Law'],,NOT_MATURE,Aspen Publishers Online,2010-08,228.0
272,"Casenote Legal Briefs for Civil Procedure, Keyed to Friedenthal, Miller, Sexton, and Hershkoff",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Aspen Publishers,2018-12-29,240.0
273,"Casenote Legal Briefs for Civil Procedure Keyed to Hazard, Tait, Fletcher and Bundy",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2010-05-03,144.0
274,"Casenote Legal Briefs for Civil Procedure Keyed to Subrin, Minow, Brodin, Main, and Lahav",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2016-08-31,170.0
275,"Casenote Legal Briefs for Civil Procedure, Keyed to Yeazell and Schwartz",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Aspen Publishers,2019-02-25,168.0
276,"Proceedings of the Second International Conference on Computing in Civil Engineering, 5-9 June 1985, Hangzhou, China",['Zhao'],en,['Technology & Engineering'],,NOT_MATURE,Elsevier Science Limited,1985,1237.0
277,A Bibliography of Florida: 1881-1899,"['James Albert Servies', 'Lana D. Servies']",en,"['Catalogs, Union']",,NOT_MATURE,,1993,559.0
278,"Engineering Mechanics Devoted to Mechanical Civil, Mining and Electrical Engineering",,en,,,NOT_MATURE,,1890,
279,Library of Congress Subject Headings,,en,"['Subject headings, Library of Congress']",,NOT_MATURE,,2011,
280,Library of Congress Subject Headings,['Library of Congress. Cataloging Policy and Support Office'],en,"['Subject headings, Library of Congress']",4.0,NOT_MATURE,,2002,
281,Rap Music and Street Consciousness,['Cheryl Lynette Keyes'],en,['Music'],5.0,NOT_MATURE,University of Illinois Press,2004,302.0
282,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,2003-09-09,176.0
283,That's the Joint!,"['Murray Forman', 'Mark Anthony Neal']",en,['Music'],4.0,NOT_MATURE,Psychology Press,2004-01,628.0
284,Columbian Cyclopedia,,en,['Encyclopedias and dictionaries'],,NOT_MATURE,,1897,
285,Alden's Manifold Cyclopedia of Knowledge and Language,,en,['Encyclopedias and dictionaries'],,NOT_MATURE,,1890,
286,Ethnomusicology at UCLA.,,en,['Ethnomusicologists'],,NOT_MATURE,,1997,
287,Catalog of Copyright Entries,,en,['American drama'],,NOT_MATURE,,1973,
288,Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5.0,NOT_MATURE,Knopf Books for Young Readers,2014-09-09,240.0
289,Tales From Boilermaker Country: A Collection of the Greatest Stories Ever Told,['Doug Griffiths'],en,['Music'],,NOT_MATURE,Simon and Schuster,2012-01-31,999.0
290,War Football,['Chris Serb'],en,['Sports & Recreation'],,NOT_MATURE,Rowman & Littlefield,2019-06-26,296.0
291,African Americans in Sports,['David K. Wiggins'],en,['History'],,NOT_MATURE,Routledge,2015-03-26,488.0
292,Black Champions of the Gridiron,['Andrew Sturgeon Young'],en,['Football'],,NOT_MATURE,,1969,120.0
293,Football's Most Wanted,['Floyd Conner'],en,['Sports & Recreation'],,NOT_MATURE,"Potomac Books, Inc.",2011,300.0
294,The USA TODAY College Football Encyclopedia 2008-2009,"['Bob Boyles', 'Paul Guido']",en,['Biography & Autobiography'],3.0,NOT_MATURE,Skyhorse Publishing Inc.,2008-08-04,1335.0
295,ESPN college football encyclopedia,"['Michael MacCambridge', 'ESPN (Television network)']",en,['Reference'],5.0,NOT_MATURE,ESPN Books,2005-09-01,1629.0
296,The Howitzer,,en,,,NOT_MATURE,,1913,
297,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,2003-09-09,176.0
298,American Book Publishing Record,,en,['American literature'],,NOT_MATURE,,1970,
299,"Casenote Legal Briefs for Sports Law, Keyed to Weiler, Roberts, Abrams, and Ross",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2011-02-28,180.0
300,"Casenote Legal Briefs for Taxation, Keyed to Freeland, Lathrope, and Stephens",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2013-11-15,156.0
301,School Activities,,en,,,NOT_MATURE,,1960,
302,"Casenote Legal Briefs for Torts, Keyed to Goldberg Sebok and Ziprusky",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2016-07-20,189.0
303,School Activities and the Library,,en,['School libraries'],,NOT_MATURE,,1960,
304,"Casenote Legal Briefs for Contracts, Keyed to Calamari, Periilo, Bender, and Brown",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2011-10-11,144.0
305,Contracts,['Aspen Publishers'],en,['Law'],,NOT_MATURE,Aspen Publishers Online,2007-12-17,275.0
306,Higher Education Exchange 78/79,['Janet A. Mitchell'],en,['Universities and colleges'],,NOT_MATURE,,1978,766.0
307,A Multiple-continuous Offense for High School Basketball,"['James Cathcart', 'Jim Cathcart']",en,['Basketball'],,NOT_MATURE,,1968,205.0
308,The Coaching Clinic,,en,['Coaching (Athletics)'],,NOT_MATURE,,1970,
309,Cumulative List of Organizations Described in Section 170 (c) of the Internal Revenue Code of 1986,,en,"['Charitable uses, trusts, and foundations']",,NOT_MATURE,,2003,
310,Cumulative List of Organizations Described in Section 170 (c) of the Internal Revenue Code of 1954,,en,"['Charitable uses, trusts, and foundations']",,NOT_MATURE,,2003,
311,Our Ewing family,['Laura Dingle Ewing'],en,,,NOT_MATURE,,1978,503.0
312,Century of American Savings Banks,['James Hilton Manning'],en,['Savings banks'],,NOT_MATURE,,1917,
313,Best books on the stock market,['Sheldon Zerden'],en,['Business & Economics'],,NOT_MATURE,R. R. Bowker,1972,168.0
314,Cracks in My Foundation,['Marian Keyes'],en,['Fiction'],3.0,NOT_MATURE,Harper Collins,2009-10-13,368.0
315,"Guide to U.S. Foundations, Their Trustees, Officers, and Donors",,en,"['Charitable uses, trusts, and foundations']",5.0,NOT_MATURE,,2006,
316,Corporate Giving Directory,['Verne Thompson'],en,['Business & Economics'],,NOT_MATURE,Information Today Incorporated,2006-11,1500.0
317,The Foundation Directory,,en,['Endowments'],,NOT_MATURE,,1960,
318,Key and allied families,['Janie Warren Hollingsworth Lane'],en,,,NOT_MATURE,,1931,495.0
319,Text Processing in Python,['David Mertz'],en,['Computers'],4.5,NOT_MATURE,Addison-Wesley Professional,2003,520.0
320,Python in a Nutshell,['Alex Martelli'],en,['Computers'],3.5,NOT_MATURE,"""O'Reilly Media, Inc.""",2006-07-14,738.0
321,Programming Python,['Mark Lutz'],en,['Computers'],2.0,NOT_MATURE,"""O'Reilly Media, Inc.""",2010-12-14,1632.0
322,Mastering Python for Networking and Security,['José Manuel Ortega'],en,['Computers'],,NOT_MATURE,Packt Publishing Ltd,2018-09-28,426.0
323,SAS Viya,"['Kevin D. Smith', 'Xiangxiang Meng']",en,['Computers'],,NOT_MATURE,SAS Institute,2018-02-08,306.0
324,Python Essential Reference,['David Beazley'],en,['Computers'],4.0,NOT_MATURE,Addison-Wesley Professional,2009-06-29,744.0
325,Python Programming for Arduino,['Pratik Desai'],en,['Computers'],,NOT_MATURE,Packt Publishing Ltd,2015-02-27,400.0
326,Effective Python,['Brett Slatkin'],en,['Computers'],,NOT_MATURE,Addison-Wesley Professional,2015-02-12,256.0
327,Programming with Python,['Tim Altom'],en,['Computers'],,NOT_MATURE,Premier Press,1999,372.0
328,"Game Programming with Python, Lua, and Ruby",['Tom Gutschmidt'],en,['Computers'],,NOT_MATURE,Course Technology,2003,437.0
329,Python Web Scraping Cookbook,['Michael Heydt'],en,['Computers'],,NOT_MATURE,Packt Publishing Ltd,2018-02-09,364.0
330,Topics in Cryptology – CT-RSA 2018,['Nigel P. Smart'],en,['Computers'],,NOT_MATURE,Springer,2018-07-04,514.0
331,Python All-in-One For Dummies,"['John Shovic', 'Alan Simpson']",en,['Computers'],,NOT_MATURE,John Wiley & Sons,2019-05-07,704.0
332,"Understanding the Interactive Digital Media Marketplace: Frameworks, Platforms, Communities and Issues","['Sharma, Ravi S.']",en,['Computers'],,NOT_MATURE,IGI Global,2011-10-31,427.0
333,Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,2016-04-19,425.0
334,the scientific review and scientific and literary review,,en,,,NOT_MATURE,,1881,
335,Engineering and Mining Journal,,en,['Engineering'],,NOT_MATURE,,1892,
336,يوميات آن فرانك,,en,,,NOT_MATURE,,2009,
337,Paper Trade Journal,,en,['Paper industry'],,NOT_MATURE,,1951,
338,American Machinist,,en,['Machinery'],,NOT_MATURE,,1890,
339,Academic Press Dictionary of Science and Technology,"['Christopher G. Morris', 'Academic Press']",en,['Computers'],,NOT_MATURE,Gulf Professional Publishing,1992,2432.0
340,Computer Programming And Operating Guide,['Shashank Johri'],en,,,NOT_MATURE,Diamond Pocket Books (P) Ltd.,,160.0
341,Programming Amazon Web Services,['James Murty'],en,['Computers'],3.5,NOT_MATURE,"""O'Reilly Media, Inc.""",2008-03-25,604.0
342,Structured Programming with COBOL Examples,['Earl H. Parsons'],en,['Computers'],,NOT_MATURE,iUniverse,2002-11-01,196.0
343,Planning a library building: the major steps,['American Library Association. Buildings Committee'],en,['Architecture'],,NOT_MATURE,,1955,80.0
344,Concurrent Programming on Windows,['Joe Duffy'],en,['Computers'],,NOT_MATURE,Pearson Education,2008-10-28,1008.0
345,Modula-2 Programming,['B. J. Holmes'],en,['Computers'],,NOT_MATURE,Cengage Learning EMEA,1994,456.0
346,Dictionary of Acronyms and Technical Abbreviations,['J. Vlietstra'],en,['Computers'],,NOT_MATURE,Springer Science & Business Media,2001-02-23,696.0
347,MOS databook,['National Semiconductor Corporation'],en,['Technology & Engineering'],,NOT_MATURE,,1980,883.0
348,Michigan Education Directory and Buyer's Guide,['Henry Romaine Pattengill'],en,['Education'],,NOT_MATURE,,1970,
349,"Solar Heating and Cooling Demonstration Act of 1974, Oversight Hearings",['Fusion Advisory Panel (U.S.)'],en,['Solar air conditioning'],,NOT_MATURE,,1975,979.0
350,"Solar Heating and Cooling Demonstration Act of 1974, Oversight Hearings","['United States. Congress. House. Committee on Science and Technology. Subcommittee on Energy Research, Development, and Demonstration']",en,['Solar air conditioning'],,NOT_MATURE,,1975,979.0
351,New Scientist,,en,,,NOT_MATURE,,1976-01-15,56.0
352,Solar Home Heating and Cooling Demonstration Act,"['United States. Congress. Senate. Committee on Banking, Housing, and Urban Affairs. Subcommittee on Housing and Urban Affairs']",en,['Energy conservation'],,NOT_MATURE,,1974,124.0
353,Consumer Handbook of Solar Energy for the United States and Canada,['John H. Keyes'],en,['Solar energy'],,NOT_MATURE,"Dobbs Ferry, N.Y. : Morgan & Morgan",1979-01-01,273.0
354,Disposal of brine by solar evaporation,"['Conrad G. Keyes', 'United States. Office of Saline Water', 'New Mexico State University']",en,['Technology & Engineering'],,NOT_MATURE,,1970,152.0
355,New Scientist,,en,['Science'],,NOT_MATURE,,1976,
356,Solar Energy in Developing Countries,['A. Eggers-Lura'],en,['Developing countries'],,NOT_MATURE,Pergamon,1979-01,205.0
357,Alternative Sources of Energy,,en,['Power (Mechanics)'],,NOT_MATURE,,1978,
358,Architecture Series: Bibliography,,en,['Architecture'],,NOT_MATURE,,1981,
359,Bulletin,,en,['Geology'],,NOT_MATURE,,1913,
360,The Nature of Symbiotic Stars,"['M. Friedjung', 'Roberto Viotti']",en,['Science'],,NOT_MATURE,Springer Science & Business Media,2012-12-06,329.0
361,Mineral Resources of Southwestern Oregon,['Joseph Silas Diller'],en,['Geology'],,NOT_MATURE,,1913,147.0
362,Geological Survey Bulletin,,en,['Geology'],,NOT_MATURE,,1949,
363,A Life of Barbara Stanwyck,['Victoria Wilson'],en,['Biography & Autobiography'],2.5,NOT_MATURE,Simon and Schuster,2013-11-12,1056.0
364,From the Dreadnought to Scapa Flow,['Arthur J Marder'],en,['History'],,NOT_MATURE,Seaforth Publishing,2014-06-13,425.0
365,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2009-01-16,304.0
366,Leonard Maltin's movie encyclopedia,"['Leonard Maltin', 'Spencer Green', 'Luke Sader']",en,['Biography & Autobiography'],,NOT_MATURE,E P Dutton,1994-11-01,976.0
367,From the Dreadnought to Scapa Flow: Victory and aftermath,['Arthur Jacob Marder'],en,['Great Britain'],,NOT_MATURE,,1970,416.0
368,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,2003-09-09,176.0
369,Princeton Alumni Weekly,,en,,,NOT_MATURE,princeton alumni weekly,1918,
370,Black Champions of the Gridiron,['Andrew Sturgeon Young'],en,['Football'],,NOT_MATURE,,1969,120.0
371,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,2008-12-24,320.0
372,Indian Gaming Regulatory Act,['United States. Congress. Senate. Committee on Indian Affairs (1993- )'],en,['Gambling on Indian reservations'],,NOT_MATURE,,2003,
373,The Eisenhowers,['Steve Neal'],en,['Biography & Autobiography'],,NOT_MATURE,,1984,508.0
374,Code of Federal Regulations,,en,['Administrative law'],,NOT_MATURE,,2006,
375,List of C.F.R. Sections Affected,,en,['Administrative law'],,NOT_MATURE,,,
376,American Lawn Tennis,,en,['Tennis'],,NOT_MATURE,,1898,
377,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2009-01-16,304.0
378,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2008-12-24,320.0
379,Sammy Keyes and the Sisters of Mercy,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2008-12-24,240.0
380,Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,2016-04-19,425.0
381,Sammy Keyes and the Wedding Crasher,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Knopf Books for Young Readers,2010-10-12,304.0
382,Soil Conservation,,en,['Soil conservation'],,NOT_MATURE,,1979-08,
383,The Phone Book,,en,['Johannesburg (South Africa)'],,NOT_MATURE,,2001,
384,National Petroleum News,,en,['Petroleum'],,NOT_MATURE,,1979,
385,The Keyes of the Kingdom of Heaven,['John Cotton'],en,['Congregational churches'],,NOT_MATURE,,1843,108.0
386,Marconi's International Register,,en,"['Cables, Submarine']",,NOT_MATURE,,1998,
387,NPN Fact Book,,en,['Petroleum industry and trade'],,NOT_MATURE,,1979,
388,Who's who Among Students in American Universities and Colleges,['Henry Pettus Randall'],en,['Students'],,NOT_MATURE,,1995,
389,Smart Phone and Next Generation Mobile Computing,"['Pei Zheng', 'Lionel Ni']",en,['Computers'],,NOT_MATURE,Elsevier,2010-07-19,350.0
390,Smartphones,"['Mohammad Ilyas', 'Syed A. Ahson']",en,['Technology & Engineering'],,NOT_MATURE,Intl. Engineering Consortiu,2006,249.0
391,Casenote Legal Briefs for Criminal Procedure Keyed to Dressler and Thomas,['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2017-06-05,228.0
392,"The Complete Book of Locks and Locksmithing, Seventh Edition",['Bill Phillips'],en,['Technology & Engineering'],5.0,NOT_MATURE,McGraw Hill Professional,2016-10-21,
393,"Casenote Legal Briefs for Contracts, Keyed to Knapp, Crystal, and Prince",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2019-05-07,204.0
394,Asia Electronics Industry,,en,['Computer industry'],,NOT_MATURE,,2003,
395,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2009-01-16,304.0
396,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,2003-09-09,176.0
397,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,2008-12-24,320.0
398,The Phone Book,,en,['Johannesburg (South Africa)'],,NOT_MATURE,,2001,
399,Politics in Pacific Asia,"['X. Huang', 'Jason Young']",en,['Political Science'],,NOT_MATURE,Palgrave,2016-11-04,328.0
400,"Music, Education, and Religion","['Alexis Anja Kallio', 'Philip Alperson', 'Heidi Westerlund']",en,['Music'],,NOT_MATURE,Indiana University Press,2019-10-01,344.0
401,Religious Commodifications in Asia,['Pattana Kitiarsa'],en,['Religion'],,NOT_MATURE,Routledge,2007-11-09,288.0
402,The Riddle of Barack Obama,['Avner Falk'],en,['Biography & Autobiography'],1.0,NOT_MATURE,ABC-CLIO,2010,335.0
403,Asian Visions of Authority,['Joint Committee on Southeast Asia'],en,['Religion'],5.0,NOT_MATURE,University of Hawaii Press,1994,366.0
404,Arguing About Religion,['Kevin Timpe'],en,['Religion'],,NOT_MATURE,,2009-01-14,633.0
405,Readings in philosophy of religion,['Andrew Eshleman'],en,['Philosophy'],,NOT_MATURE,Wiley-Blackwell,2008-05-02,512.0
406,United States Political Science Documents,,en,['Political science'],,NOT_MATURE,,1981,
407,"Religion, Ethnicity and Modernity in Southeast Asia",['Myung-Seok Oh'],en,"['Asia, Southeastern']",,NOT_MATURE,,1998,257.0
408,Directory of departments and programs of religious studies in North America,"['David G. Truemper', 'Council of Societies for the Study of Religion']",en,['Religion'],,NOT_MATURE,,2002,489.0
409,Blasphemy,['Alan Dershowitz'],en,['Political Science'],,NOT_MATURE,John Wiley & Sons,2007-06-04,195.0
410,Whose God Rules?,"['N. Walker', 'E. Greenlee']",en,['Social Science'],,NOT_MATURE,Springer,2011-12-14,263.0
411,"Atheism and Arithmetic, Or, Mathematical Law in Nature",['Horace Lorenzo Hastings'],en,['God'],,NOT_MATURE,,1885,63.0
412,Atheism And The Case Against Christ,['Matthew S. Mccormick'],en,['Religion'],,NOT_MATURE,Prometheus Books,2012-09-25,332.0
413,America Declares Independence,['Alan Dershowitz'],en,['History'],5.0,NOT_MATURE,John Wiley & Sons Incorporated,2003-03-31,196.0
414,Gods Arrow Against Atheists,['Henry Smith'],en,['Christianity and atheism'],,NOT_MATURE,,1617,96.0
415,Gods Arrow Againste Atheists,['Henry Smith'],en,['Apologetics'],,NOT_MATURE,,1607,100.0
416,The Indian Libertarian,,en,['Economic history'],,NOT_MATURE,,1972,
417,Brain Mystery Light and Dark,['Charles Don Keyes'],en,['Philosophy'],,NOT_MATURE,Routledge,2006-06-07,184.0
418,"101 Proofs that the Bible is True, an Answer to Atheism",['Charles Orville Benham'],en,['Bible'],,NOT_MATURE,,1944,143.0
419,Bulletin of the United States Geological Survey,,en,['Geology'],,NOT_MATURE,,1898,
420,Get Rommel,['Michael Asher'],en,['History'],3.5,NOT_MATURE,Hachette UK,2011-12-01,320.0
421,Annual Report of the Commissioner of Patents,['United States. Patent Office'],en,,,NOT_MATURE,,1872,
422,Sammy Keyes and the Wedding Crasher,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Knopf Books for Young Readers,2010-10-12,304.0
423,The Bloody Man,['Bevan Amberhill'],en,['Fiction'],,NOT_MATURE,"Stratford, Ont. : Mercury Press",1993,216.0
424,Self-instruction in Practical Business Qualifications,['Charles Stewart Macnair'],en,,,NOT_MATURE,,1890,244.0
425,1000 Helpful Hints & Valuable Suggestions for Book-keepers and Business Men,"['Book-keeper publishing co., Detroit']",en,['Bookkeeping'],,NOT_MATURE,,1895,104.0
426,The Railway Agent and Station Agent,,en,,,NOT_MATURE,,1891,
427,Devonshire Scream,['Laura Childs'],en,['Fiction'],4.0,NOT_MATURE,Penguin,2016-03-01,320.0
428,Gaywyck,['Vincent Virga'],en,['Fiction'],3.5,NOT_MATURE,Alyson Publications,1980,385.0
429,Decisions and Orders of the National Labor Relations Board,['United States. National Labor Relations Board'],en,['Labor laws and legislation'],,NOT_MATURE,,1993,
430,Food Shortages: Sugar,['United States. Congress. House. Special Committee to Investigate Food Shortages'],en,['Meat industry and trade'],,NOT_MATURE,,1945,
